Date,Buying_price,Selling_price
2024-09-10 00:00:02,78500000,80500000
2024-09-11 00:00:02,78500000,80500000
2024-09-12 00:00:02,78500000,80500000
2024-09-13 00:00:02,78500000,80500000
2024-09-14 00:00:03,78500000,80500000
2024-09-15 00:00:07,78500000,80500000
2024-09-16 00:00:02,78500000,80500000
2024-09-17 00:00:02,78500000,80500000
2024-09-17 08:04:01,80000000,82000000
2024-09-18 00:00:02,80000000,82000000
2024-09-19 00:00:02,80000000,82000000
2024-09-19 08:06:02,79800000,81800000
2024-09-20 00:00:03,79800000,81800000
2024-09-20 09:54:01,80000000,82000000
2024-09-21 00:00:02,80000000,82000000
2024-09-22 00:00:03,80000000,82000000
2024-09-23 00:00:03,80000000,82000000
2024-09-24 00:00:07,80000000,82000000
2024-09-24 08:12:02,81500000,83500000
2024-09-25 00:00:03,81500000,83500000
2024-09-26 00:00:03,81500000,83500000
2024-09-27 00:00:02,81500000,83500000
2024-09-28 00:00:02,81500000,83500000
2024-09-29 00:00:03,81500000,83500000
2024-09-30 00:00:02,81500000,83500000
2024-10-01 00:00:03,81500000,83500000
2024-10-01 08:30:02,82000000,84000000
2024-10-02 00:00:02,82000000,84000000
2024-10-03 00:00:03,82000000,84000000
2024-10-04 00:00:03,82000000,84000000
2024-10-05 00:00:02,82000000,84000000
2024-10-06 00:00:02,82000000,84000000
2024-10-07 00:00:02,82000000,84000000
2024-10-08 00:00:08,82000000,84000000
2024-10-08 08:02:01,83000000,85000000
2024-10-09 00:00:02,83000000,85000000
2024-10-10 00:00:02,83000000,85000000
2024-10-10 08:00:02,82500000,84500000
2024-10-20 07:46:48,84000000,86000000
2024-10-21 00:00:02,84000000,86000000
2024-10-21 08:06:02,86000000,88000000
2024-10-22 00:00:03,86000000,88000000
2024-10-22 08:30:02,87000000,89000000
2024-10-23 00:00:02,87000000,89000000
2024-10-25 10:13:52,87000000,89000000
2024-10-26 00:00:03,87000000,89000000
2024-10-27 00:00:03,87000000,89000000
2024-10-28 00:00:03,87000000,89000000
2024-10-29 00:00:02,87000000,89000000
2024-10-30 00:00:04,87000000,89000000
2024-10-30 14:46:02,88000000,90000000
